id,domain,subdomain,item,item_type,morocco_status,clinical_status
OC-INT-002,oral_care,interdental,unwaxed dental floss,device_para,TO_VERIFY_MA,CLINICAL_FAMILY_SUPPORTED
OC-INT-003,oral_care,interdental,dental tape,device_para,TO_VERIFY_MA,CLINICAL_FAMILY_SUPPORTED
OC-INT-004,oral_care,interdental,PTFE floss,device_para,TO_VERIFY_MA,TO_VALIDATE
OC-INT-005,oral_care,interdental,superfloss,device_para,TO_VERIFY_MA,TO_VALIDATE
OC-INT-006,oral_care,interdental,floss threader,device_para,TO_VERIFY_MA,TO_VALIDATE
OC-INT-007,oral_care,interdental,interdental brush,device_para,TO_VERIFY_MA,CLINICAL_FAMILY_SUPPORTED
OC-INT-008,oral_care,interdental,implant-safe coated interdental brush,device_para,TO_VERIFY_MA,TO_VALIDATE
OC-INT-009,oral_care,interdental,rubber interdental pick,device_para,TO_VERIFY_MA,TO_VALIDATE
OC-INT-010,oral_care,interdental,wood/plastic interdental stick,device_para,TO_VERIFY_MA,TO_VALIDATE
OC-INT-011,oral_care,interdental,oral irrigator / water flosser,device_para,TO_VERIFY_MA,CLINICAL_FAMILY_SUPPORTED
OC-INT-012,oral_care,interdental,powered interdental cleaner,device_para,TO_VERIFY_MA,CLINICAL_FAMILY_SUPPORTED
OC-DENT-001,oral_care,denture,denture adhesive cream,otc_para,TO_VERIFY_MA,CLINICAL_FAMILY_SUPPORTED
OC-DENT-002,oral_care,denture,denture adhesive powder,otc_para,TO_VERIFY_MA,CLINICAL_FAMILY_SUPPORTED
OC-DENT-003,oral_care,denture,denture adhesive strip,otc_para,TO_VERIFY_MA,CLINICAL_FAMILY_SUPPORTED
OC-DENT-004,oral_care,denture,denture adhesive wafer/pad,otc_para,TO_VERIFY_MA,CLINICAL_FAMILY_SUPPORTED
OC-DENT-005,oral_care,denture,effervescent denture cleanser,otc_para,TO_VERIFY_MA,CLINICAL_FAMILY_SUPPORTED
OC-DENT-006,oral_care,denture,denture cleanser paste/gel/cream,otc_para,TO_VERIFY_MA,CLINICAL_FAMILY_SUPPORTED
OC-DENT-007,oral_care,denture,denture soaking box,device_para,TO_VERIFY_MA,TO_VALIDATE
OC-DENT-008,oral_care,denture,denture adhesive residue remover,otc_para,TO_VERIFY_MA,TO_VALIDATE
OC-DENT-009,oral_care,denture,temporary OTC denture cushion/reline,device_para,TO_VERIFY_MA,CAUTION_OR_SPECIALIST
OC-ORTHO-001,oral_care,orthodontics,orthodontic wax,device_para,TO_VERIFY_MA,TO_VALIDATE
OC-ORTHO-002,oral_care,orthodontics,orthodontic protective silicone,device_para,TO_VERIFY_MA,TO_VALIDATE
OC-ORTHO-003,oral_care,orthodontics,aligner/retainer cleanser,otc_para,TO_VERIFY_MA,TO_VALIDATE
OC-ORTHO-004,oral_care,orthodontics,appliance effervescent cleanser,otc_para,TO_VERIFY_MA,TO_VALIDATE
OC-ORTHO-005,oral_care,orthodontics,ventilated appliance storage case,device_para,TO_VERIFY_MA,TO_VALIDATE
OC-PERIO-001,oral_care,periodontal_implant,implant-specific floss/tape,device_para,TO_VERIFY_MA,TO_VALIDATE
OC-PERIO-002,oral_care,periodontal_implant,low-abrasivity implant/restoration toothpaste,otc_para,TO_VERIFY_MA,TO_VALIDATE
OC-SENS-001,oral_care,sensitivity,potassium nitrate desensitizing product,otc_para,TO_VERIFY_MA,CLINICAL_FAMILY_SUPPORTED
OC-SENS-002,oral_care,sensitivity,stannous fluoride desensitizing product,otc_para,TO_VERIFY_MA,CLINICAL_FAMILY_SUPPORTED
OC-SENS-003,oral_care,sensitivity,arginine + calcium carbonate desensitizing product,otc_para,TO_VERIFY_MA,TO_VALIDATE
OC-SENS-004,oral_care,sensitivity,strontium salt desensitizing product,otc_para,TO_VERIFY_MA,TO_VALIDATE
OC-SENS-005,oral_care,sensitivity,home desensitizing gel,otc_or_professional,TO_VERIFY_MA,TO_VALIDATE
OC-HAL-001,oral_care,halitosis,CPC halitosis product,otc_para,TO_VERIFY_MA,TO_VALIDATE
OC-HAL-002,oral_care,halitosis,zinc halitosis product,otc_para,TO_VERIFY_MA,TO_VALIDATE
OC-HAL-003,oral_care,halitosis,chlorine dioxide halitosis product,otc_para,TO_VERIFY_MA,TO_VALIDATE
OC-WHITE-001,oral_care,whitening,whitening/stain-removal toothpaste,otc_para,TO_VERIFY_MA,TO_VALIDATE
OC-WHITE-002,oral_care,whitening,hydrogen peroxide strips/gel,otc_or_professional,TO_VERIFY_MA,TO_VALIDATE
OC-WHITE-003,oral_care,whitening,carbamide peroxide tray gel,professional_or_home_supervised,TO_VERIFY_MA,TO_VALIDATE
OC-WHITE-004,oral_care,whitening,post-whitening desensitizing product,otc_or_professional,TO_VERIFY_MA,TO_VALIDATE
OC-WHITE-005,oral_care,whitening,charcoal oral product,market_product,TO_VERIFY_MA,MARKET_ONLY_REVIEW
OC-MUC-001,oral_care,oral_mucosa,hyaluronic acid oral gel,otc_para,TO_VERIFY_MA,TO_VALIDATE
OC-MUC-002,oral_care,oral_mucosa,oral barrier/film-forming gel,otc_para,TO_VERIFY_MA,TO_VALIDATE
OC-MUC-003,oral_care,oral_mucosa,oral protective patch,otc_para,TO_VERIFY_MA,TO_VALIDATE
OC-PLAQUE-001,oral_care,plaque_control,plaque disclosing tablet,otc_para,TO_VERIFY_MA,TO_VALIDATE
OC-PLAQUE-002,oral_care,plaque_control,plaque disclosing solution,otc_para,TO_VERIFY_MA,TO_VALIDATE
OC-GUM-001,oral_care,prevention,sugar-free/xylitol chewing gum,otc_para,TO_VERIFY_MA,CLINICAL_FAMILY_SUPPORTED
OC-SPORT-001,oral_care,protection,sports mouthguard,device_para,TO_VERIFY_MA,CLINICAL_FAMILY_SUPPORTED
OC-TEETH-001,oral_care,pediatric_teething,teething gel,otc_para,TO_VERIFY_MA,SAFETY_REVIEW_REQUIRED
OC-SMOKE-001,adjacent_care,smoking_cessation,nicotine gum,otc_or_rx,TO_VERIFY_MA,MEDICAL_CONTEXT
OC-SMOKE-002,adjacent_care,smoking_cessation,nicotine lozenge,otc_or_rx,TO_VERIFY_MA,MEDICAL_CONTEXT
OC-SMOKE-003,adjacent_care,smoking_cessation,nicotine patch,otc_or_rx,TO_VERIFY_MA,MEDICAL_CONTEXT
