canonical_id,evidence_file,evidence_key,mapping_type,evidence_status,clinical_activation
MED-LA-006,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS4_LOCAL_ANESTHESIA_2026-09-16.md,Bupivacaïne + adrénaline,EXACT_ITEM,RESEARCH_VALIDATION_PASS,NO
MED-LA-007,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS4_LOCAL_ANESTHESIA_2026-09-16.md,Anesthésiques topiques,FAMILY_SUPPORT,PRODUCT_SPECIFIC_VALIDATION_PENDING,NO
MED-LA-008,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS4_LOCAL_ANESTHESIA_2026-09-16.md,Anesthésiques topiques,FAMILY_SUPPORT,METHEMOGLOBINEMIA_GUARDRAIL_CAPTURED,NO
MED-EMG-001,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS3_EMERGENCIES_2026-09-16.md,Anaphylaxie,EXACT_ITEM,PROTOCOL_RESEARCH_PASS,NO
MED-EMG-002,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS3_EMERGENCIES_2026-09-16.md,Oxygène médical,EXACT_ITEM,PROTOCOL_RESEARCH_PASS,NO
MED-EMG-003,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS3_EMERGENCIES_2026-09-16.md,Asthme aigu,EXACT_ITEM,PROTOCOL_RESEARCH_PASS,NO
MED-EMG-004,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS3_EMERGENCIES_2026-09-16.md,Angor / suspicion d'infarctus,EXACT_ITEM,PROTOCOL_RESEARCH_PASS,NO
MED-EMG-005,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS3_EMERGENCIES_2026-09-16.md,Angor / suspicion d'infarctus,EXACT_ITEM,PROTOCOL_RESEARCH_PASS,NO
MED-EMG-006,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS3_EMERGENCIES_2026-09-16.md,Hypoglycémie,EXACT_ITEM,PROTOCOL_RESEARCH_PASS,NO
MED-EMG-007,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS3_EMERGENCIES_2026-09-16.md,Hypoglycémie,EXACT_ITEM,PROTOCOL_RESEARCH_PASS,NO
MED-EMG-008,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS3_EMERGENCIES_2026-09-16.md,Crise convulsive prolongée,EXACT_ITEM,PROTOCOL_RESEARCH_PASS,NO
MED-EMG-010,PRESCRIPTION_PHARMACOLOGY_MOROCCO_CLINICAL_PASS3_EMERGENCIES_2026-09-16.md,Antihistaminiques réaction allergique légère,FAMILY_SUPPORT,PRODUCT_SELECTION_PENDING,NO
MED-MUC-001,PRESCRIPTION_PHARMACOLOGY_MOROCCO_REMAINING_MEDICINES_PASS_2026-09-16.csv,MED-MUC-TRI,EXACT_ITEM,SPECIALIST_OR_EXCEPTION,NO
MED-MUC-002,PRESCRIPTION_PHARMACOLOGY_MOROCCO_REMAINING_MEDICINES_PASS_2026-09-16.csv,MED-MUC-HC,EXACT_ITEM,TO_VALIDATE,NO
MED-MUC-003,PRESCRIPTION_PHARMACOLOGY_MOROCCO_REMAINING_MEDICINES_PASS_2026-09-16.csv,MED-MUC-DEX,EXACT_ITEM,SPECIALIST_OR_EXCEPTION,NO
MED-MUC-004,PRESCRIPTION_PHARMACOLOGY_MOROCCO_REMAINING_MEDICINES_PASS_2026-09-16.csv,MED-MUC-PRED,EXACT_ITEM,SPECIALIST_OR_EXCEPTION,NO
MED-HEM-001,PRESCRIPTION_PHARMACOLOGY_MOROCCO_REMAINING_MEDICINES_PASS_2026-09-16.csv,MED-HEM-TXA,EXACT_ITEM,SPECIALIST_OR_EXCEPTION,NO
MED-XERO-001,PRESCRIPTION_PHARMACOLOGY_MOROCCO_REMAINING_MEDICINES_PASS_2026-09-16.csv,MED-XERO-PILO,EXACT_ITEM,SPECIALIST_OR_EXCEPTION,NO
MED-XERO-002,PRESCRIPTION_PHARMACOLOGY_MOROCCO_REMAINING_MEDICINES_PASS_2026-09-16.csv,MED-XERO-CEVI,EXACT_ITEM,SPECIALIST_OR_EXCEPTION,NO
MED-SED-001,PRESCRIPTION_PHARMACOLOGY_MOROCCO_REMAINING_MEDICINES_PASS_2026-09-16.csv,MED-SED-N2O,EXACT_ITEM,SPECIALIST_OR_EXCEPTION,NO
MED-SED-002,PRESCRIPTION_PHARMACOLOGY_MOROCCO_REMAINING_MEDICINES_PASS_2026-09-16.csv,MED-SED-MID,EXACT_ITEM,SPECIALIST_OR_EXCEPTION,NO
MED-SED-003,PRESCRIPTION_PHARMACOLOGY_MOROCCO_REMAINING_MEDICINES_PASS_2026-09-16.csv,MED-SED-DIAZ,EXACT_ITEM,SPECIALIST_OR_EXCEPTION,NO
MED-SED-004,PRESCRIPTION_PHARMACOLOGY_MOROCCO_REMAINING_MEDICINES_PASS_2026-09-16.csv,MED-SED-HYDROX,EXACT_ITEM,SPECIALIST_OR_EXCEPTION,NO
OC-TP-001,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_CORE_PASS_2026-09-16.csv,OC-TP-FLUORIDE,FAMILY_SUPPORT,CLINICAL_FAMILY_SUPPORTED,NO
OC-TP-002,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_CORE_PASS_2026-09-16.csv,OC-TP-FLUORIDE,FAMILY_SUPPORT,AGE_SPECIFIC_AMOUNT_CAPTURED,NO
OC-TP-006,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_CORE_PASS_2026-09-16.csv,OC-TP-SENS,FAMILY_SUPPORT,PRODUCT_SPECIFIC,NO
OC-TP-014,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_CORE_PASS_2026-09-16.csv,OC-TP-GING,EXACT_FAMILY,VERIFIED_EXAMPLE_MA,NO
OC-RINSE-001,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_CORE_PASS_2026-09-16.csv,OC-RINSE-CHX012,EXACT_ITEM,VERIFIED_EXAMPLE_MA,NO
OC-RINSE-002,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_CORE_PASS_2026-09-16.csv,OC-RINSE-CHX02,EXACT_ITEM,TO_VERIFY_EXACT_MA,NO
OC-RINSE-004,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_CORE_PASS_2026-09-16.csv,OC-RINSE-CPC,EXACT_ITEM,VERIFIED_FAMILY_MA,NO
OC-RINSE-005,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_CORE_PASS_2026-09-16.csv,OC-RINSE-EO,EXACT_ITEM,TO_VERIFY_MA,NO
OC-RINSE-006,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_CORE_PASS_2026-09-16.csv,OC-RINSE-NAF005,EXACT_ITEM,TO_VERIFY_EXACT_MA,NO
OC-RINSE-007,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_CORE_PASS_2026-09-16.csv,OC-RINSE-NAF02,EXACT_ITEM,TO_VERIFY_EXACT_MA,NO
OC-FLUOR-001,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_CORE_PASS_2026-09-16.csv,OC-FLUOR-VARNISH,EXACT_ITEM,TO_VERIFY_MA,NO
OC-FLUOR-002,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_CORE_PASS_2026-09-16.csv,OC-FLUOR-GEL,EXACT_ITEM,TO_VERIFY_MA,NO
OC-INT-001,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_ADVANCED_PASS_2026-09-16.md,Fil dentaire / ruban / floss spécifique,FAMILY_SUPPORT,CLINICAL_AND_MA_FAMILY_SUPPORT,NO
OC-INT-003,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_ADVANCED_PASS_2026-09-16.md,Fil dentaire / ruban / floss spécifique,FAMILY_SUPPORT,CLINICAL_AND_MA_FAMILY_SUPPORT,NO
OC-INT-005,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_ADVANCED_PASS_2026-09-16.md,Fil dentaire / ruban / floss spécifique,FAMILY_SUPPORT,CLINICAL_AND_MA_FAMILY_SUPPORT,NO
OC-INT-007,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_ADVANCED_PASS_2026-09-16.md,Brossettes interdentaires,EXACT_FAMILY,CLINICAL_AND_MA_FAMILY_SUPPORT,NO
OC-INT-011,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_ADVANCED_PASS_2026-09-16.md,Hydropulseurs / irrigateurs,EXACT_FAMILY,CLINICAL_SUPPORT_MA_PENDING,NO
OC-DENT-001,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_ADVANCED_PASS_2026-09-16.md,Adhésifs / fixatifs de prothèse,FAMILY_SUPPORT,CLINICAL_AND_MA_FAMILY_SUPPORT,NO
OC-DENT-002,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_ADVANCED_PASS_2026-09-16.md,Adhésifs / fixatifs de prothèse,FAMILY_SUPPORT,CLINICAL_FAMILY_SUPPORT,NO
OC-DENT-003,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_ADVANCED_PASS_2026-09-16.md,Adhésifs / fixatifs de prothèse,FAMILY_SUPPORT,CLINICAL_FAMILY_SUPPORT,NO
OC-DENT-004,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_ADVANCED_PASS_2026-09-16.md,Adhésifs / fixatifs de prothèse,FAMILY_SUPPORT,CLINICAL_FAMILY_SUPPORT,NO
OC-DENT-005,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_ADVANCED_PASS_2026-09-16.md,Nettoyage prothèses,FAMILY_SUPPORT,CLINICAL_AND_MA_FAMILY_SUPPORT,NO
OC-DENT-006,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_ADVANCED_PASS_2026-09-16.md,Nettoyage prothèses,FAMILY_SUPPORT,CLINICAL_AND_MA_FAMILY_SUPPORT,NO
OC-XERO-001,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_ADVANCED_PASS_2026-09-16.md,Substituts salivaires / gels / sprays / bains de bouche,FAMILY_SUPPORT,CLINICAL_AND_MA_FAMILY_SUPPORT,NO
OC-XERO-002,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_ADVANCED_PASS_2026-09-16.md,Substituts salivaires / gels / sprays / bains de bouche,FAMILY_SUPPORT,PRODUCT_SPECIFIC_EXAMPLE_MA,NO
OC-XERO-003,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_ADVANCED_PASS_2026-09-16.md,Substituts salivaires / gels / sprays / bains de bouche,FAMILY_SUPPORT,CLINICAL_AND_MA_FAMILY_SUPPORT,NO
OC-XERO-004,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_ADVANCED_PASS_2026-09-16.md,Chewing-gum / pastilles sans sucre,FAMILY_SUPPORT,CLINICAL_FAMILY_SUPPORT,NO
OC-XERO-005,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_ADVANCED_PASS_2026-09-16.md,Chewing-gum / pastilles sans sucre,FAMILY_SUPPORT,CLINICAL_FAMILY_SUPPORT,NO
OC-ORTHO-001,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_ADVANCED_PASS_2026-09-16.md,Orthodontie,FAMILY_SUPPORT,MA_FAMILY_SUPPORT,NO
OC-PERIO-001,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_ADVANCED_PASS_2026-09-16.md,Implants / parodonte,FAMILY_SUPPORT,CLINICAL_AND_MA_FAMILY_SUPPORT,NO
OC-SENS-001,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_FINAL_FAMILIES_PASS_2026-09-16.md,Hypersensibilité dentinaire,FAMILY_SUPPORT,CLINICAL_FAMILY_SUPPORTED,NO
OC-SENS-002,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_FINAL_FAMILIES_PASS_2026-09-16.md,Hypersensibilité dentinaire,FAMILY_SUPPORT,CLINICAL_FAMILY_SUPPORTED,NO
OC-SENS-003,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_FINAL_FAMILIES_PASS_2026-09-16.md,Hypersensibilité dentinaire,FAMILY_SUPPORT,CLINICAL_FAMILY_SUPPORTED,NO
OC-FLUOR-003,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_FINAL_FAMILIES_PASS_2026-09-16.md,Silver diamine fluoride — SDF 38%,EXACT_ITEM,CLINICAL_SUPPORT_MA_PENDING,NO
OC-WHITE-002,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_FINAL_FAMILIES_PASS_2026-09-16.md,Peroxyde d'hydrogène / peroxyde de carbamide,FAMILY_SUPPORT,PRODUCT_AND_REGULATORY_LIMITS_PENDING,NO
OC-WHITE-003,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_FINAL_FAMILIES_PASS_2026-09-16.md,Peroxyde d'hydrogène / peroxyde de carbamide,FAMILY_SUPPORT,PRODUCT_AND_REGULATORY_LIMITS_PENDING,NO
OC-BRUSH-008,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_FINAL_FAMILIES_PASS_2026-09-16.md,Hygiène mécanique douce,EXACT_FAMILY,VERIFIED_EXAMPLE_MA,NO
OC-MUC-004,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_FINAL_FAMILIES_PASS_2026-09-16.md,Solutions/gel barrière pour aphtes et petites lésions,FAMILY_SUPPORT,PRODUCT_SPECIFIC_EXAMPLE_MA,NO
OC-PLAQUE-001,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_FINAL_FAMILIES_PASS_2026-09-16.md,Révélateurs de plaque,FAMILY_SUPPORT,TO_VALIDATE_MA,NO
OC-PLAQUE-002,PRESCRIPTION_PHARMACOLOGY_MOROCCO_PARA_FINAL_FAMILIES_PASS_2026-09-16.md,Révélateurs de plaque,FAMILY_SUPPORT,TO_VALIDATE_MA,NO
