historical_id,disposition,canonical_target,required_discriminator,clinical_activation
MED-ABX-013,IDENTITY_RETAINED,MED-ABX-013,form|strength|route_or_use|indication_tags,NO
MED-ABX-014,IDENTITY_RETAINED,MED-ABX-014,form|strength|route_or_use|indication_tags,NO
MED-ABX-015,IDENTITY_RETAINED,MED-ABX-015,form|strength|route_or_use|indication_tags,NO
MED-FUNG-001,IDENTITY_RETAINED,MED-FUNG-001,form|strength|route_or_use|indication_tags,NO
MED-FUNG-002,IDENTITY_RETAINED,MED-FUNG-002,form|strength|route_or_use|indication_tags,NO
MED-FUNG-003,IDENTITY_RETAINED,MED-FUNG-003,form|strength|route_or_use|indication_tags,NO
MED-FUNG-004,IDENTITY_RETAINED,MED-FUNG-004,form|strength|route_or_use|indication_tags,NO
MED-FUNG-005,IDENTITY_RETAINED,MED-FUNG-005,form|strength|route_or_use|indication_tags,NO
MED-FUNG-006,IDENTITY_RETAINED,MED-FUNG-006,form|strength|route_or_use|indication_tags,NO
MED-VIR-001,IDENTITY_RETAINED,MED-VIR-001,form|strength|route_or_use|indication_tags,NO
MED-VIR-002,IDENTITY_RETAINED,MED-VIR-002,form|strength|route_or_use|indication_tags,NO
MED-VIR-003,IDENTITY_RETAINED,MED-VIR-003,form|strength|route_or_use|indication_tags,NO
MED-VIR-004,IDENTITY_RETAINED,MED-VIR-004,form|strength|route_or_use|indication_tags,NO
MED-VIR-005,IDENTITY_RETAINED,MED-VIR-005,form|strength|route_or_use|indication_tags,NO
MED-MUC-001,IDENTITY_RETAINED,MED-MUC-001,form|strength|route_or_use|indication_tags,NO
MED-MUC-002,IDENTITY_RETAINED,MED-MUC-002,form|strength|route_or_use|indication_tags,NO
MED-MUC-003,IDENTITY_RETAINED,MED-MUC-003,form|strength|route_or_use|indication_tags,NO
MED-MUC-004,IDENTITY_RETAINED,MED-MUC-004,form|strength|route_or_use|indication_tags,NO
MED-MUC-005,FORM_CONTEXT_OVERLAP,CAN-BENZYDAMINE-ORAL,regulatory_type|form|concentration|route_or_use,NO
MED-MUC-006,FORM_CONTEXT_OVERLAP,CAN-LIDOCAINE-ORAL-TOPICAL,form|concentration|route_or_use|age_limits,NO
MED-MUC-007,EXACT_OR_QUASI_DUPLICATE,CAN-MED-BENZOCAINE-TOPICAL,form|concentration|route_or_use|indication_tags,NO
MED-MUC-008,IDENTITY_RETAINED,MED-MUC-008,form|strength|route_or_use|indication_tags,NO
MED-LA-001,IDENTITY_RETAINED,MED-LA-001,form|strength|route_or_use|indication_tags,NO
MED-LA-002,IDENTITY_RETAINED,MED-LA-002,form|strength|route_or_use|indication_tags,NO
MED-LA-003,IDENTITY_RETAINED,MED-LA-003,form|strength|route_or_use|indication_tags,NO
MED-LA-004,IDENTITY_RETAINED,MED-LA-004,form|strength|route_or_use|indication_tags,NO
MED-LA-005,IDENTITY_RETAINED,MED-LA-005,form|strength|route_or_use|indication_tags,NO
MED-LA-006,IDENTITY_RETAINED,MED-LA-006,form|strength|route_or_use|indication_tags,NO
MED-LA-007,FORM_CONTEXT_OVERLAP,CAN-LIDOCAINE-ORAL-TOPICAL,form|concentration|route_or_use|age_limits,NO
MED-LA-008,EXACT_OR_QUASI_DUPLICATE,CAN-MED-BENZOCAINE-TOPICAL,form|concentration|route_or_use|indication_tags,NO
MED-HEM-001,IDENTITY_RETAINED,MED-HEM-001,form|strength|route_or_use|indication_tags,NO
MED-XERO-001,IDENTITY_RETAINED,MED-XERO-001,form|strength|route_or_use|indication_tags,NO
MED-XERO-002,IDENTITY_RETAINED,MED-XERO-002,form|strength|route_or_use|indication_tags,NO
MED-SED-001,IDENTITY_RETAINED,MED-SED-001,form|strength|route_or_use|indication_tags,NO
MED-SED-002,PROTOCOL_CONTEXT_OVERLAP,CAN-MED-MIDAZOLAM,form|concentration|route_or_use|protocol_context,NO
MED-SED-003,IDENTITY_RETAINED,MED-SED-003,form|strength|route_or_use|indication_tags,NO
MED-SED-004,IDENTITY_RETAINED,MED-SED-004,form|strength|route_or_use|indication_tags,NO
MED-EMG-001,IDENTITY_RETAINED,MED-EMG-001,form|strength|route_or_use|indication_tags,NO
MED-EMG-002,IDENTITY_RETAINED,MED-EMG-002,form|strength|route_or_use|indication_tags,NO
MED-EMG-003,IDENTITY_RETAINED,MED-EMG-003,form|strength|route_or_use|indication_tags,NO
MED-EMG-004,IDENTITY_RETAINED,MED-EMG-004,form|strength|route_or_use|indication_tags,NO
MED-EMG-005,IDENTITY_RETAINED,MED-EMG-005,form|strength|route_or_use|indication_tags,NO
MED-EMG-006,IDENTITY_RETAINED,MED-EMG-006,form|strength|route_or_use|indication_tags,NO
MED-EMG-007,IDENTITY_RETAINED,MED-EMG-007,form|strength|route_or_use|indication_tags,NO
MED-EMG-008,PROTOCOL_CONTEXT_OVERLAP,CAN-MED-MIDAZOLAM,form|concentration|route_or_use|protocol_context,NO
MED-EMG-009,IDENTITY_RETAINED,MED-EMG-009,form|strength|route_or_use|indication_tags,NO
MED-EMG-010,IDENTITY_RETAINED,MED-EMG-010,form|strength|route_or_use|indication_tags,NO
MED-EMG-011,IDENTITY_RETAINED,MED-EMG-011,form|strength|route_or_use|indication_tags,NO
OC-TP-001,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-TP-F-001,fluoride_compound|ppm|age,NO
OC-TP-002,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-TP-F-001,fluoride_compound|ppm|age,NO
OC-TP-003,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-TP-HF-001,ppm=2800|age|product,NO
OC-TP-004,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-TP-HF-001,ppm=5000|age|product,NO
OC-TP-005,ACTIVE_OVERLAP,PARA-DH-SN-001,form=toothpaste|concentration|indication_tags,NO
OC-TP-006,ACTIVE_OVERLAP,PARA-DH-K-001,form=toothpaste|concentration|indication_tags,NO
OC-TP-007,ACTIVE_OVERLAP,PARA-DH-ARG-001,form=toothpaste|concentration|indication_tags,NO
OC-TP-008,DISTINCT_CANONICAL_GAP,GAP-PARA-DH-STRONTIUM,salt|concentration|form,NO
OC-TP-009,DISTINCT_CANONICAL_GAP,GAP-PARA-TP-LOW-ABRASIVITY,abrasivity_metric|indication_tags|form,NO
OC-TP-010,EXACT_DUPLICATE,PARA-WHITE-TP-001,form|active_or_material|indication_tags,NO
OC-TP-011,DISTINCT_CANONICAL_GAP,GAP-PARA-TP-SLS-FREE,surfactant_status|indication_tags,NO
OC-TP-012,MAP_EXACT,PARA-XERO-TP-001,product|composition,NO
OC-TP-013,ACTIVE_OVERLAP,PARA-REM-HA-001,form=toothpaste|particle_type|concentration,NO
OC-RINSE-001,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-MR-CHX-001,concentration=0.12%|form=mouthrinse|product,NO
OC-RINSE-002,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-MR-CHX-001,concentration=0.2%|form=mouthrinse|product,NO
OC-RINSE-003,DISTINCT_CANONICAL_GAP,GAP-PARA-CHX-GEL,concentration|form=gel|route_or_use,NO
OC-RINSE-004,ACTIVE_INDICATION_OVERLAP,PARA-MR-CPC-001,concentration|co_actives|indication_tags,NO
OC-RINSE-005,MAP_EXACT,PARA-MR-EO-001,composition|concentration|product,NO
OC-RINSE-006,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-MR-F-001,concentration=0.05%|protocol|age,NO
OC-RINSE-007,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-MR-F-001,concentration=0.2%|protocol|age,NO
OC-RINSE-008,MAP_EXACT,PARA-MR-PEROX-001,peroxide_type|concentration|indication,NO
OC-RINSE-009,MAP_EXACT,PARA-MR-HEX-001,concentration|product,NO
OC-RINSE-010,MAP_EXACT,PARA-MR-PVP-001,concentration|contraindications|product,NO
OC-RINSE-011,ACTIVE_INDICATION_OVERLAP,PARA-MR-CDO2-001,concentration|co_actives|indication_tags,NO
OC-RINSE-012,ACTIVE_INDICATION_OVERLAP,PARA-MR-ZN-001,zinc_salt|concentration|co_actives|indication_tags,NO
OC-RINSE-013,DISTINCT_CANONICAL_GAP,GAP-PARA-MR-CPC-ZINC-COMBINATION,CPC_concentration|zinc_salt|zinc_concentration|indication_tags,NO
OC-RINSE-014,MEDICINE_BOUNDARY,CAN-BENZYDAMINE-ORAL,regulatory_type|form|concentration|route_or_use,NO
OC-RINSE-015,DISTINCT_CANONICAL_GAP,GAP-HOME-RINSE-SALINE,recipe_or_product|use_context,NO
OC-RINSE-016,DISTINCT_CANONICAL_GAP,GAP-HOME-RINSE-BICARBONATE,recipe_or_product|use_context,NO
OC-FLUOR-001,MAP_EXACT,PARA-FLUOR-VARN-001,fluoride_type|concentration|product,NO
OC-FLUOR-002,MAP_EXACT,PARA-FLUOR-GELP-001,fluoride_type|concentration|form,NO
OC-FLUOR-003,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-FLUOR-SDF-001,concentration=38%|product|protocol,NO
OC-REM-001,MAP_SPLIT_FAMILY,PARA-REM-CPP-001|PARA-REM-CPPF-001,fluoride_presence|form|product,NO
OC-REM-002,ACTIVE_OVERLAP,PARA-REM-HA-001,form|particle_type|concentration,NO
OC-XERO-001,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-XERO-SUB-001,form=spray|composition|product,NO
OC-XERO-002,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-XERO-SUB-001,form=gel|composition|product,NO
OC-XERO-003,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-XERO-SUB-001,form=mouthrinse|composition|product,NO
OC-XERO-004,QUASI_DUPLICATE,PARA-XERO-GUM-001,composition|indication_tags,NO
OC-XERO-005,MAP_EXACT,PARA-XERO-LOZ-001,composition|choking_guard|product,NO
OC-BRUSH-001,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-BR-MAN-001,softness=soft|size|indication,NO
OC-BRUSH-002,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-BR-MAN-001,softness=ultrasoft|size|indication,NO
OC-BRUSH-003,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-BR-PWR-001,motion=oscillating_rotating|head|age,NO
OC-BRUSH-004,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-BR-PWR-001,motion=sonic|head|age,NO
OC-BRUSH-005,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-BR-MAN-001,design=orthodontic_v_cut|indication=ortho,NO
OC-BRUSH-006,MAP_EXACT,PARA-BR-SINGLE-001,head_design|indication,NO
OC-BRUSH-007,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-BR-MAN-001,design=sulcular|indication,NO
OC-BRUSH-008,DISTINCT_CANONICAL_GAP,GAP-PARA-BR-POSTSURG-ULTRASOFT,softness|protocol|procedure,NO
OC-BRUSH-009,DISTINCT_CANONICAL_GAP,GAP-PARA-DENT-BRUSH,design|denture_material,NO
OC-BRUSH-010,MAP_EXACT,PARA-PED-BRUSH-001,age|size|product,NO
OC-TONGUE-001,MAP_EXACT,PARA-TONGUE-001,product,NO
OC-INT-001,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-INT-FLOSS-001,waxed=yes|material,NO
OC-INT-002,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-INT-FLOSS-001,waxed=no|material,NO
OC-INT-003,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-INT-FLOSS-001,form=tape|material,NO
OC-INT-004,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-INT-FLOSS-001,material=PTFE|form,NO
OC-INT-005,DISTINCT_CANONICAL_GAP,GAP-PARA-INT-SUPERFLOSS,segments|use_context,NO
OC-INT-006,DISTINCT_CANONICAL_GAP,GAP-PARA-INT-THREADER,device_type|use_context,NO
OC-INT-007,MAP_EXACT,PARA-INT-BRUSH-001,size|wire_material,NO
OC-INT-008,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-INT-BRUSH-001,implant_safe_coating|wire_material|size,NO
OC-INT-009,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-INT-PICK-001,material=rubber|size,NO
OC-INT-010,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-INT-PICK-001,material=wood_or_plastic|form,NO
OC-INT-011,MAP_EXACT,PARA-INT-WF-001,device|pressure_settings,NO
OC-INT-012,DISTINCT_CANONICAL_GAP,GAP-PARA-INT-POWERED-CLEANER,mechanism|tip|use_context,NO
OC-DENT-001,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-DENT-ADH-001,form=cream|composition|zinc_status,NO
OC-DENT-002,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-DENT-ADH-001,form=powder|composition|zinc_status,NO
OC-DENT-003,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-DENT-ADH-001,form=strip|composition|zinc_status,NO
OC-DENT-004,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-DENT-ADH-001,form=wafer_or_pad|composition|zinc_status,NO
OC-DENT-005,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-DENT-CLEAN-001,form=effervescent_tablet|material_compatibility,NO
OC-DENT-006,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-DENT-CLEAN-001,form=paste_gel_cream|material_compatibility,NO
OC-DENT-007,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-APP-BOX-001,indication=denture|ventilation,NO
OC-DENT-008,DISTINCT_CANONICAL_GAP,GAP-PARA-DENT-ADH-REMOVER,form|composition,NO
OC-DENT-009,MAP_EXACT,PARA-DENT-RELINE-001,material|duration|safety,NO
OC-ORTHO-001,MAP_EXACT,PARA-ORTHO-WAX-001,product,NO
OC-ORTHO-002,DISTINCT_CANONICAL_GAP,GAP-PARA-ORTHO-PROTECTIVE-SILICONE,material|use_context,NO
OC-ORTHO-003,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-APP-CLEAN-001,indication=aligner_or_retainer|material_compatibility,NO
OC-ORTHO-004,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-APP-CLEAN-001,form=effervescent|material_compatibility,NO
OC-ORTHO-005,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-APP-BOX-001,indication=ortho|ventilation,NO
OC-PERIO-001,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-INT-FLOSS-001,indication=implant|material|coating,NO
OC-PERIO-002,DISTINCT_CANONICAL_GAP,GAP-PARA-TP-LOW-ABRASIVITY,abrasivity_metric|indication=implant_or_restoration|form,NO
OC-SENS-001,ACTIVE_OVERLAP,PARA-DH-K-001,form|concentration|indication_tags,NO
OC-SENS-002,ACTIVE_OVERLAP,PARA-DH-SN-001,form|concentration|indication_tags,NO
OC-SENS-003,ACTIVE_OVERLAP,PARA-DH-ARG-001,form|concentration|indication_tags,NO
OC-SENS-004,ACTIVE_OVERLAP,GAP-PARA-DH-STRONTIUM,form|salt|concentration|indication_tags,NO
OC-SENS-005,DISTINCT_CANONICAL_GAP,GAP-PARA-DH-HOME-GEL,active_or_material|concentration|protocol,NO
OC-HAL-001,ACTIVE_INDICATION_OVERLAP,PARA-MR-CPC-001,concentration|co_actives|indication=halitosis,NO
OC-HAL-002,ACTIVE_INDICATION_OVERLAP,PARA-MR-ZN-001,zinc_salt|concentration|indication=halitosis,NO
OC-HAL-003,ACTIVE_INDICATION_OVERLAP,PARA-MR-CDO2-001,concentration|indication=halitosis,NO
OC-WHITE-001,EXACT_DUPLICATE,PARA-WHITE-TP-001,form|active_or_material|indication_tags,NO
OC-WHITE-002,MAP_SPLIT_FAMILY,PARA-WHITE-STRIP-001|PARA-WHITE-GEL-001,form=strip_or_gel|peroxide_concentration|age,NO
OC-WHITE-003,MAP_EXACT,PARA-WHITE-GEL-001,active=carbamide_peroxide|concentration|tray_protocol,NO
OC-WHITE-004,DISTINCT_CANONICAL_GAP,GAP-PARA-WHITE-POST-DESENS,active_or_material|form|timing,NO
OC-WHITE-005,MARKET_ONLY_CANONICAL_GAP,GAP-PARA-CHARCOAL-ORAL,form|abrasivity|claims,NO
OC-MUC-001,DISTINCT_CANONICAL_GAP,GAP-PARA-MUC-HYALURONIC-GEL,composition|form|indication,NO
OC-MUC-002,DISTINCT_CANONICAL_GAP,GAP-PARA-MUC-BARRIER-GEL,composition|form|indication,NO
OC-MUC-003,DISTINCT_CANONICAL_GAP,GAP-PARA-MUC-PROTECTIVE-PATCH,material|indication,NO
OC-PLAQUE-001,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-PLAQUE-DISC-001,form=tablet|dye|supervision,NO
OC-PLAQUE-002,MAP_FAMILY_WITH_REQUIRED_ATTRIBUTE,PARA-PLAQUE-DISC-001,form=solution|dye|supervision,NO
OC-GUM-001,QUASI_DUPLICATE,PARA-XERO-GUM-001,composition|indication_tags,NO
OC-SPORT-001,MAP_SPLIT_FAMILY,PARA-MG-STOCK-001|PARA-MG-CUSTOM-001,fit_type|age|activity,NO
OC-TEETH-001,MAP_EXACT,PARA-PED-GEL-001,active_or_material|age|safety,NO
OC-SMOKE-001,ADJACENT_MEDICAL_BOUNDARY,ADJ-SMOKING-CESSATION-NICOTINE,form=gum|strength|medical_context,NO
OC-SMOKE-002,ADJACENT_MEDICAL_BOUNDARY,ADJ-SMOKING-CESSATION-NICOTINE,form=lozenge|strength|medical_context,NO
OC-SMOKE-003,ADJACENT_MEDICAL_BOUNDARY,ADJ-SMOKING-CESSATION-NICOTINE,form=patch|strength|medical_context,NO
