historical_id,canonical_medicine,dental_role,exact_form_strength_target,morocco_market_status,regulatory_status,clinical_evidence_status,adult_regimen_status,pediatric_regimen_status,max_dose_limit_status,duration_status,contraindications_precautions_status,interactions_status,specialist_protocol_boundary,unresolved_critical_fields,evidence_layer,clinical_activation
MED-ABX-003,phenoxymethylpenicillin / penicillin V,antibiotic,tablet/oral solution,PARTIAL_VERIFIED,NOT_SEPARATELY_PROVEN,CROSS_VALIDATED_CORE,CAPTURED,CAPTURED,CAPTURED,CAPTURED,CAPTURED,CAPTURED,NONE,regulatory/form Morocco closure,CLINICAL_PASS1_CORE,NO
MED-ABX-004,metronidazole,antibiotic,tablet/oral suspension,PARTIAL_VERIFIED,NOT_SEPARATELY_PROVEN,CROSS_VALIDATED_CORE,CAPTURED,CAPTURED,CONTEXT_SPECIFIC,CAPTURED,PARTIAL_PENDING,PARTIAL_PENDING,NONE,full cautions/interactions/regulatory closure,CLINICAL_PASS1_CORE,NO
MED-ABX-005,clindamycin,restricted antibiotic,capsule/suspension,PARTIAL_VERIFIED,NOT_SEPARATELY_PROVEN,CROSS_VALIDATED_WITH_CAUTION,CAPTURED,PARTIAL_NOT_DENTAL_SPECIFIC,CAPTURED,CAPTURED,CAPTURED_HIGH_RISK,PARTIAL_PENDING,RESTRICTED,under-12 dental regimen/interactions/regulatory,CLINICAL_PASS1_CORE,NO
MED-ABX-006,clarithromycin,second-line antibiotic,tablet/oral suspension,PARTIAL_VERIFIED,NOT_SEPARATELY_PROVEN,CROSS_VALIDATED_WITH_CAUTION,CAPTURED,CAPTURED,CAPTURED,CAPTURED,CAPTURED_HIGH_RISK,PARTIAL_PENDING,SECOND_LINE,interaction-QT/regulatory closure,CLINICAL_PASS1_CORE,NO
MED-ABX-007,azithromycin,antibiotic,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,NON_ROUTINE,dedicated pass reconciliation,SECONDARY_PASS_PENDING,NO
MED-ABX-008,spiramycin,antibiotic,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,NON_ROUTINE,dedicated pass reconciliation,SECONDARY_PASS_PENDING,NO
MED-ABX-009,spiramycin + metronidazole,antibiotic,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,NON_ROUTINE,dedicated pass reconciliation,SECONDARY_PASS_PENDING,NO
MED-ABX-010,doxycycline,antibiotic,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,NON_ROUTINE,dedicated pass reconciliation,SECONDARY_PASS_PENDING,NO
MED-ABX-011,cephalexin,antibiotic,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,NON_ROUTINE,dedicated pass reconciliation,SECONDARY_PASS_PENDING,NO
MED-ABX-012,cefuroxime,nonroutine antibiotic,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,NON_ROUTINE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,NON_ROUTINE,dedicated pass reconciliation,SECONDARY_PASS_PENDING,NO
MED-ABX-013,cefadroxil,nonroutine antibiotic,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,NON_ROUTINE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,NON_ROUTINE,dedicated pass reconciliation,SECONDARY_PASS_PENDING,NO
MED-ABX-014,doxycycline local periodontal,local periodontal antibiotic,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,SPECIALIST_OR_EXCEPTION,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,SPECIALIST_OR_EXCEPTION,product/device pass reconciliation,SECONDARY_PASS_PENDING,NO
MED-ABX-015,minocycline local periodontal,local periodontal antibiotic,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,SPECIALIST_OR_EXCEPTION,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,SPECIALIST_OR_EXCEPTION,product/device pass reconciliation,SECONDARY_PASS_PENDING,NO
MED-FUNG-001,miconazole oral gel,antifungal,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,FAIL_CLOSED,dedicated pass reconciliation,ANTIFUNGAL_PASS_PENDING,NO
MED-FUNG-002,nystatin oral suspension,antifungal,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,FAIL_CLOSED,dedicated pass reconciliation,ANTIFUNGAL_PASS_PENDING,NO
MED-FUNG-003,fluconazole oral,antifungal,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,FAIL_CLOSED,dedicated pass reconciliation,ANTIFUNGAL_PASS_PENDING,NO
MED-FUNG-004,miconazole topical cream,antifungal,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,FAIL_CLOSED,dedicated pass reconciliation,ANTIFUNGAL_PASS_PENDING,NO
MED-FUNG-005,clotrimazole oral,antifungal,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,FAIL_CLOSED,dedicated pass reconciliation,ANTIFUNGAL_PASS_PENDING,NO
MED-FUNG-006,amphotericin B oral/local,antifungal,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,SPECIALIST_OR_EXCEPTION,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,SPECIALIST_OR_EXCEPTION,dedicated pass reconciliation,ANTIFUNGAL_PASS_PENDING,NO
MED-VIR-001,aciclovir oral,antiviral,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,FAIL_CLOSED,dedicated pass reconciliation,ANTIVIRAL_PASS_PENDING,NO
MED-VIR-002,valaciclovir oral,antiviral,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,FAIL_CLOSED,dedicated pass reconciliation,ANTIVIRAL_PASS_PENDING,NO
MED-VIR-003,famciclovir,antiviral,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,FAIL_CLOSED,dedicated pass reconciliation,ANTIVIRAL_PASS_PENDING,NO
MED-VIR-004,aciclovir topical,antiviral,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,FAIL_CLOSED,dedicated pass reconciliation,ANTIVIRAL_PASS_PENDING,NO
MED-VIR-005,penciclovir topical,antiviral,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,FAIL_CLOSED,dedicated pass reconciliation,ANTIVIRAL_PASS_PENDING,NO
MED-MUC-001,triamcinolone acetonide oral paste,mucosal specialist,formulation unresolved,TO_VERIFY_MA,NOT_PROVEN,SPECIALIST_OR_EXCEPTION,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,PARTIAL,TO_VALIDATE,SPECIALIST_OR_EXCEPTION,formulation/Morocco evidence incomplete,REMAINING_MEDICINES_PASS,NO
MED-MUC-002,hydrocortisone buccal,oral ulcer,buccal formulation,TO_VERIFY_MA,NOT_PROVEN,TO_VALIDATE,REFERENCE_CAPTURED,AGE_RESTRICTED,TO_RECONCILE,TO_RECONCILE,CAPTURED_PARTIAL,TO_RECONCILE,FAIL_CLOSED,Morocco/max/duration/interactions,REMAINING_MEDICINES_PASS,NO
MED-MUC-003,dexamethasone oral rinse/topical,mucosal specialist,formulation unresolved,TO_VERIFY_MA,NOT_PROVEN,SPECIALIST_OR_EXCEPTION,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,PARTIAL,TO_VALIDATE,SPECIALIST_OR_EXCEPTION,formulation/Morocco evidence incomplete,REMAINING_MEDICINES_PASS,NO
MED-MUC-004,prednisolone oral rinse/topical,mucosal specialist,formulation unresolved,TO_VERIFY_MA,NOT_PROVEN,SPECIALIST_OR_EXCEPTION,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,PARTIAL,TO_VALIDATE,SPECIALIST_OR_EXCEPTION,formulation/Morocco evidence incomplete,REMAINING_MEDICINES_PASS,NO
MED-MUC-005,benzydamine mouthwash/spray,mucosal,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,FAIL_CLOSED,dedicated pass reconciliation,MUCOSAL_PASS_PENDING,NO
MED-MUC-006,lidocaine viscous/topical,mucosal topical anaesthetic,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,FAIL_CLOSED,dedicated pass reconciliation,MUCOSAL_PASS_PENDING,NO
MED-MUC-007,benzocaine topical,mucosal topical anaesthetic,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,FAIL_CLOSED,dedicated pass reconciliation,MUCOSAL_PASS_PENDING,NO
MED-MUC-008,sucralfate oral/local,mucosal specialist,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,SPECIALIST_OR_EXCEPTION,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,SPECIALIST_OR_EXCEPTION,dedicated pass reconciliation,MUCOSAL_PASS_PENDING,NO
MED-LA-001,articaine + epinephrine,local anaesthesia,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,CHAIRSIDE_PROTOCOL,dedicated pass reconciliation,LOCAL_ANESTHESIA_PASS_PENDING,NO
MED-LA-002,lidocaine + epinephrine,local anaesthesia,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,CHAIRSIDE_PROTOCOL,dedicated pass reconciliation,LOCAL_ANESTHESIA_PASS_PENDING,NO
MED-LA-003,mepivacaine plain,local anaesthesia,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,CHAIRSIDE_PROTOCOL,dedicated pass reconciliation,LOCAL_ANESTHESIA_PASS_PENDING,NO
MED-LA-004,mepivacaine + vasoconstrictor,local anaesthesia,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,CHAIRSIDE_PROTOCOL,dedicated pass reconciliation,LOCAL_ANESTHESIA_PASS_PENDING,NO
MED-LA-005,prilocaine ± felypressin,local anaesthesia,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,CHAIRSIDE_PROTOCOL,dedicated pass reconciliation,LOCAL_ANESTHESIA_PASS_PENDING,NO
MED-LA-006,bupivacaine + epinephrine,local anaesthesia,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,CHAIRSIDE_PROTOCOL,dedicated pass reconciliation,LOCAL_ANESTHESIA_PASS_PENDING,NO
MED-LA-007,lidocaine topical spray/gel,topical anaesthesia,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,CHAIRSIDE_PROTOCOL,dedicated pass reconciliation,LOCAL_ANESTHESIA_PASS_PENDING,NO
MED-LA-008,benzocaine topical,topical anaesthesia,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,CHAIRSIDE_PROTOCOL,dedicated pass reconciliation,LOCAL_ANESTHESIA_PASS_PENDING,NO
MED-HEM-001,tranexamic acid,haemostasis,local haemostasis first,TO_VERIFY_MA,NOT_PROVEN,SPECIALIST_OR_EXCEPTION,NOT_ROUTINE_DENTAL,NOT_ROUTINE,NOT_ROUTINE,NOT_ROUTINE,CAPTURED_PARTIAL,TO_RECONCILE,SPECIALIST_OR_EXCEPTION,Morocco/product/interactions,REMAINING_MEDICINES_PASS,NO
MED-XERO-001,pilocarpine,xerostomia,oral target,TO_VERIFY_MA,NOT_PROVEN,SPECIALIST_OR_EXCEPTION,REFERENCE_CAPTURED,NOT_ROUTINE,TO_RECONCILE,TO_RECONCILE,CAPTURED_HIGH_RISK,TO_RECONCILE,SPECIALIST_OR_EXCEPTION,Morocco authorization/form and full safety,REMAINING_MEDICINES_PASS,NO
MED-XERO-002,cevimeline,xerostomia,oral target,TO_VERIFY_MA,NOT_PROVEN,SPECIALIST_OR_EXCEPTION,REFERENCE_CAPTURED,NOT_ROUTINE,TO_RECONCILE,TO_RECONCILE,PARTIAL,TO_RECONCILE,SPECIALIST_OR_EXCEPTION,Morocco authorization and full safety,REMAINING_MEDICINES_PASS,NO
MED-SED-001,nitrous oxide + oxygen,sedation,medicinal gas,TO_VERIFY_MA,NOT_PROVEN,SPECIALIST_OR_EXCEPTION,PROTOCOL_REQUIRED,PROTOCOL_REQUIRED,PROTOCOL_REQUIRED,PROTOCOL_REQUIRED,CAPTURED_HIGH_RISK,PROTOCOL_REQUIRED,PROTOCOL_REQUIRED,Morocco regulatory framework/protocol,REMAINING_MEDICINES_PASS,NO
MED-SED-002,midazolam,sedation,form/route specific,PARTIAL_VERIFIED_MA,NOT_SEPARATELY_PROVEN,SPECIALIST_OR_EXCEPTION,REFERENCE_CAPTURED,REFERENCE_CAPTURED,TO_RECONCILE,TO_RECONCILE,CAPTURED_HIGH_RISK,TO_RECONCILE,PROTOCOL_REQUIRED,exact dental form/route and protocol,REMAINING_MEDICINES_PASS,NO
MED-SED-003,diazepam,sedation,oral forms observed,VERIFIED_PRESENT_MA,NOT_SEPARATELY_PROVEN,SPECIALIST_OR_EXCEPTION,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,CAPTURED_BOUNDARY,TO_VALIDATE,SPECIALIST_OR_EXCEPTION,dental indication/regimen/regulatory form,REMAINING_MEDICINES_PASS,NO
MED-SED-004,hydroxyzine,sedation,oral target unresolved,TO_VERIFY_MA,NOT_PROVEN,SPECIALIST_OR_EXCEPTION,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,CAPTURED_BOUNDARY,TO_VALIDATE,SPECIALIST_OR_EXCEPTION,Morocco oral form and regimen/safety,REMAINING_MEDICINES_PASS,NO
MED-EMG-001,epinephrine IM,emergency,1 mg/mL IM exact target,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,EMERGENCY_PROTOCOL,Morocco exact product/form and protocol,EMERGENCY_PASS_PENDING,NO
MED-EMG-002,medical oxygen,emergency,medical oxygen supply,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,PROTOCOL_REQUIRED,PROTOCOL_REQUIRED,PROTOCOL_REQUIRED,PROTOCOL_REQUIRED,TO_RECONCILE,TO_RECONCILE,EMERGENCY_PROTOCOL,Morocco supply/regulatory framework,EMERGENCY_PASS_PENDING,NO
MED-EMG-003,salbutamol inhaled,emergency,100 microgram/dose inhaler,MARKET_FORM_EVIDENCE,NOT_SEPARATELY_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,EMERGENCY_PROTOCOL,regulatory and emergency regimen reconciliation,PROTOCOL_PLUS_EMERGENCY_PENDING,NO
MED-EMG-004,glyceryl trinitrate,emergency,400 microgram/dose spray,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,EMERGENCY_PROTOCOL,exact spray strength/form mismatch,PROTOCOL_PLUS_EMERGENCY_PENDING,NO
MED-EMG-005,aspirin oral,emergency,300 mg dispersible,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,EMERGENCY_PROTOCOL,exact Morocco product/form,PROTOCOL_PLUS_EMERGENCY_PENDING,NO
MED-EMG-006,oral glucose / glucose gel,emergency,standardized emergency glucose,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,PROTOCOL_REQUIRED,PROTOCOL_REQUIRED,PROTOCOL_REQUIRED,PROTOCOL_REQUIRED,TO_RECONCILE,TO_RECONCILE,EMERGENCY_PROTOCOL,standardized Morocco product/form,PROTOCOL_PLUS_EMERGENCY_PENDING,NO
MED-EMG-007,glucagon,emergency,1 mg IM,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,EMERGENCY_PROTOCOL,exact Morocco product/form,PROTOCOL_PLUS_EMERGENCY_PENDING,NO
MED-EMG-008,midazolam rescue seizure,emergency,oromucosal exact form,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,PROTOCOL_REQUIRED,PROTOCOL_REQUIRED,PROTOCOL_REQUIRED,PROTOCOL_REQUIRED,CAPTURED_HIGH_RISK,TO_RECONCILE,EMERGENCY_PROTOCOL,oromucosal form unproven; no injectable substitution,PROTOCOL_PLUS_EMERGENCY_PENDING,NO
MED-EMG-009,naloxone,emergency,NOT_NORMALIZED,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,EMERGENCY_PROTOCOL,dedicated pass reconciliation,EMERGENCY_PASS_PENDING,NO
MED-EMG-010,antihistamine emergency adjunct,emergency,exact DCI/form unresolved,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,EMERGENCY_PROTOCOL,exact DCI/form/Morocco status,PROTOCOL_PLUS_EMERGENCY_PENDING,NO
MED-EMG-011,systemic corticosteroid emergency adjunct,emergency,exact DCI/form unresolved,TO_VERIFY_MA,NOT_PROVEN,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,TO_RECONCILE,EMERGENCY_PROTOCOL,exact DCI/form/Morocco status,EMERGENCY_PASS_PENDING,NO
