canonical_id,family,subfamily,active_or_material,form,indication_tags,age_guard,evidence_status,morocco_status,product_specific,clinical_activation
PARA-INT-HOLDER-001,Interdental,Floss holder,device,holder,interdental_plaque;dexterity_support,PRODUCT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,VERIFIED_MARKET_MA,YES,NO
PARA-INT-BRUSH-001,Interdental,Brush,device,interdental_brush,interdental_plaque;ortho;implant;perio,SIZE_PATIENT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,VERIFIED_MARKET_MA,YES,NO
PARA-INT-PICK-001,Interdental,Pick,device,interdental_pick,interdental_plaque,PRODUCT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,VERIFIED_MARKET_MA,YES,NO
PARA-INT-WF-001,Interdental,Water flosser,device,oral_irrigator,interdental_plaque;ortho;implant;perio,PRODUCT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-BR-MAN-001,Toothbrush,Manual,device,manual_brush,plaque_control;general;ortho;implant;perio,AGE_SIZE_DEXTERITY_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-BR-PWR-001,Toothbrush,Powered,device,powered_brush,plaque_control;dexterity_support;general;ortho;implant;perio,AGE_DEXTERITY_PRODUCT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-BR-SINGLE-001,Toothbrush,Single tuft,device,single_tuft_brush,ortho;implant;perio;targeted_hygiene,PRODUCT_SPECIFIC,TAXONOMY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-PLAQUE-DISC-001,Plaque control,Discloser,dye,tablet_or_solution,plaque_visualization,USE_SUPERVISION_SPECIFIC,TAXONOMY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-TONGUE-001,Tongue care,Scraper,device,tongue_cleaning;halitosis,PRODUCT_SPECIFIC,TAXONOMY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-XERO-SUB-001,Xerostomia,Saliva substitute/moisturizer,moisturizing_agents,gel_spray_rinse,dry_mouth_relief,PRODUCT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,VERIFIED_MARKET_MA_OFFICIAL_BRAND_SITE,YES,NO
PARA-XERO-TP-001,Xerostomia,Dry-mouth toothpaste,product_specific,toothpaste,dry_mouth_support;oral_hygiene,AGE_PRODUCT_SPECIFIC,TAXONOMY_SUPPORTED,VERIFIED_MARKET_MA_OFFICIAL_BRAND_SITE,YES,NO
PARA-XERO-GUM-001,Xerostomia,Sugar-free gum,sugar_free_or_xylitol,gum,salivary_stimulation;dry_mouth,CHOKING_AND_PATIENT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-XERO-LOZ-001,Xerostomia,Sugar-free lozenge,sugar_free_or_xylitol,lozenge,salivary_stimulation;dry_mouth,CHOKING_AND_PATIENT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-ORTHO-WAX-001,Orthodontics,Wax,wax,orthodontic_wax,temporary_mechanical_irritation_relief,PRODUCT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,VERIFIED_MARKET_MA_MULTIPLE_RETAILERS,YES,NO
PARA-APP-CLEAN-001,Appliance care,Cleanser,cleaning_agents,tablet_solution_gel,aligner;retainer;removable_appliance,MATERIAL_PRODUCT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-APP-BOX-001,Appliance care,Storage,device,storage_case,aligner;retainer;mouthguard;removable_appliance,PRODUCT_SPECIFIC,TAXONOMY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-DENT-CLEAN-001,Denture,Cleanser,cleaning_agents,tablet_solution_cream_paste_gel,denture_hygiene,MATERIAL_PRODUCT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-DENT-ADH-001,Denture,Adhesive,adhesive_agents,cream_powder_wafer_strip,denture_retention,PRODUCT_SPECIFIC;ZINC_CAUTION,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_LOCAL_MA_NONIMPORT,YES,NO
PARA-DENT-RELINE-001,Denture,OTC reline,reline_material,kit,temporary_fit_adjustment,SAFETY_REVIEW_REQUIRED,SAFETY_REVIEW_REQUIRED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-WHITE-TP-001,Whitening,Toothpaste,abrasive_or_peroxide_product_specific,toothpaste,extrinsic_stain_reduction,PRODUCT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-WHITE-STRIP-001,Whitening,Strip,peroxide,strip,tooth_whitening,AGE_PRODUCT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-WHITE-GEL-001,Whitening,Home gel,hydrogen_or_carbamide_peroxide,gel_or_tray,tooth_whitening,AGE_CONCENTRATION_PROTOCOL_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-WHITE-PRO-001,Whitening,Professional,hydrogen_or_carbamide_peroxide,professional_system,tooth_whitening,PROTOCOL_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-POST-COLD-001,Post-op,Cold pack,device,cold_pack,postop_comfort,PROCEDURE_PROTOCOL_SPECIFIC,TAXONOMY_SUPPORTED_PROTOCOL_SPECIFIC,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-POST-GAUZE-001,Post-op,Gauze,medical_textile,gauze_or_compress,local_postop_support;haemostasis_support,PROCEDURE_PROTOCOL_SPECIFIC,TAXONOMY_SUPPORTED_PROTOCOL_SPECIFIC,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-MG-STOCK-001,Trauma prevention,Mouthguard stock/boil bite,device,mouthguard,sports_trauma_prevention,AGE_FIT_ACTIVITY_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-MG-CUSTOM-001,Trauma prevention,Mouthguard custom,device,custom_mouthguard,sports_trauma_prevention,AGE_FIT_ACTIVITY_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-PED-BRUSH-001,Pediatric,Toothbrush,device,infant_or_child_brush,plaque_control,AGE_SIZE_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY_BY_PRODUCT,YES,NO
PARA-PED-TEETHER-001,Pediatric,Non-drug teether,device,teether,teething_comfort,TEETHING_STAGE_PRODUCT_SPECIFIC,CLINICAL_FAMILY_SUPPORTED,VERIFIED_MARKET_MA,YES,NO
PARA-PED-GEL-001,Pediatric,Medicated teething product,product_specific,gel_or_solution,teething_comfort_claim,SAFETY_REVIEW_REQUIRED,SAFETY_REVIEW_REQUIRED,TO_VERIFY_BY_PRODUCT,YES,NO
