record_type,category,sub_category,item_or_dci,maroc_status,indication_or_use,form_strength,adult_regimen,pediatric_regimen,age_weight_limits,duration,max_daily_dose,contraindications,precautions_interactions,clinical_source_status,morocco_source_status,validation_status,clinical_activation
MEDICINE,Emergency,Hypoglycaemia,Glucose,TO_VERIFY,Emergency hypoglycaemia protocol,TO_VERIFY,PROTOCOL_ONLY,PROTOCOL_ONLY,PROTOCOL_ONLY,PROTOCOL_ONLY,PROTOCOL_ONLY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,Emergency,Hypoglycaemia,Glucagon,TO_VERIFY,Emergency severe hypoglycaemia protocol,TO_VERIFY,PROTOCOL_ONLY,PROTOCOL_ONLY,PROTOCOL_ONLY,PROTOCOL_ONLY,PROTOCOL_ONLY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,Emergency,Bronchospasm,Salbutamol,TO_VERIFY,Emergency bronchospasm protocol,TO_VERIFY,PROTOCOL_ONLY,PROTOCOL_ONLY,PROTOCOL_ONLY,PROTOCOL_ONLY,PROTOCOL_ONLY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,Sedation,Benzodiazepine,Midazolam,TO_VERIFY,Dental conscious sedation only under appropriate protocol/training,TO_VERIFY,SPECIALIST_PROTOCOL,SPECIALIST_PROTOCOL,SPECIALIST_PROTOCOL,SPECIALIST_PROTOCOL,SPECIALIST_PROTOCOL,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
MEDICINE,Fluoride prevention,Systemic supplement,Dietary fluoride supplement drops/tablets/lozenges,TO_VERIFY,Potential caries prevention only after fluoride-exposure and patient-specific assessment,TO_VERIFY,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,CLINICAL_FAMILY_SUPPORTED,TO_VERIFY,SPECIALIST_OR_EXCEPTION,NO
PARA,Toothpaste,Daily fluoride,Fluoride toothpaste,TO_VERIFY,Caries prevention,TO_VERIFY,N/A,N/A,TO_VALIDATE,N/A,N/A,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
PARA,Toothpaste,High fluoride,High-fluoride toothpaste,TO_VERIFY,High-caries-risk prevention under professional recommendation,TO_VERIFY,N/A,N/A,TO_VALIDATE,N/A,N/A,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
PARA,Toothpaste,Desensitizing,Desensitizing toothpaste,TO_VERIFY,Dentine hypersensitivity,TO_VERIFY,N/A,N/A,TO_VALIDATE,N/A,N/A,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
PARA,Mouthrinse,Antiseptic,Chlorhexidine mouthrinse,TO_VERIFY,Short-term plaque/gingival control in selected indications,TO_VERIFY,N/A,N/A,TO_VALIDATE,TO_VALIDATE,N/A,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
PARA,Mouthrinse,Fluoride,Fluoride mouthrinse,TO_VERIFY,Caries prevention in selected patients,TO_VERIFY,N/A,N/A,TO_VALIDATE,TO_VALIDATE,N/A,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
PARA,Fluoride,High-strength home-use gel,Prescription/high-strength home-use fluoride gel,VERIFIED_MARKET_MA,Caries prevention in selected high-risk patients under professional direction,TO_VERIFY,N/A,N/A,TO_VALIDATE,PRODUCT_SPECIFIC,N/A,TO_VALIDATE,TO_VALIDATE,CLINICAL_FAMILY_SUPPORTED,MA_MARKET_CROSSCHECKED_REGULATORY_PENDING,TO_VALIDATE,NO
PARA,Interdental,Floss,Dental floss/tape,TO_VERIFY,Interdental plaque removal,Multiple formats,N/A,N/A,TO_VALIDATE,Daily,N/A,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
PARA,Interdental,Floss holder,Reusable floss holder / handle,VERIFIED_MARKET_MA,Assist interdental plaque removal where manual flossing is difficult,Device,N/A,N/A,TO_VALIDATE,Daily,N/A,TO_VALIDATE,TO_VALIDATE,CLINICAL_FAMILY_SUPPORTED,MA_MARKET_CROSSCHECKED,TO_VALIDATE,NO
PARA,Interdental,Brush,Interdental brushes,TO_VERIFY,Interdental plaque removal,Multiple sizes,N/A,N/A,TO_VALIDATE,TO_VALIDATE,N/A,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
PARA,Interdental,Water flosser,Oral irrigator,TO_VERIFY,Adjunctive interdental/oral hygiene,Multiple devices,N/A,N/A,TO_VALIDATE,TO_VALIDATE,N/A,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
PARA,Denture,Adhesive,Denture adhesive,TO_VERIFY,Improve denture retention/stability where appropriate,Cream/powder/pads,N/A,N/A,TO_VALIDATE,TO_VALIDATE,N/A,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
PARA,Denture,Cleanser,Denture cleanser,TO_VERIFY,Denture hygiene,Tablets/solutions/other,N/A,N/A,TO_VALIDATE,TO_VALIDATE,N/A,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
PARA,Xerostomia,Saliva substitute,Saliva substitute/moisturizing gel or spray,TO_VERIFY,Symptomatic dry-mouth relief,Gel/spray/rinse,N/A,N/A,TO_VALIDATE,TO_VALIDATE,N/A,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
PARA,Halitosis,Oral-care adjunct,Halitosis oral-care products,TO_VERIFY,Adjunctive management after cause assessment,TO_VERIFY,N/A,N/A,TO_VALIDATE,TO_VALIDATE,N/A,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
PARA,Orthodontics,Hygiene,Orthodontic brush/interdental aids,TO_VERIFY,Oral hygiene around appliances,Multiple formats,N/A,N/A,TO_VALIDATE,TO_VALIDATE,N/A,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
PARA,Orthodontics,Relief,Orthodontic wax,TO_VERIFY,Temporary relief of appliance-related irritation,Wax,N/A,N/A,TO_VALIDATE,As needed,N/A,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
PARA,Implant,Maintenance,Implant-specific hygiene aids,TO_VERIFY,Plaque control around implants/prostheses,Multiple formats,N/A,N/A,TO_VALIDATE,TO_VALIDATE,N/A,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
PARA,Pediatric,Teething safety,Teething gel / medicated oral comfort product,TO_VERIFY,Market/safety-review representation only; no automatic clinical recommendation,TO_VERIFY,N/A,N/A,SAFETY_REVIEW_REQUIRED,PRODUCT_SPECIFIC,N/A,SAFETY_REVIEW_REQUIRED,SAFETY_REVIEW_REQUIRED,SAFETY_REVIEW_REQUIRED,TO_VERIFY,SAFETY_REVIEW_REQUIRED,NO
PARA,Pediatric,Teething non-drug,Teething ring / teether,VERIFIED_MARKET_MA,Non-drug symptomatic teething comfort,PRODUCT_SPECIFIC,N/A,N/A,TEETHING_STAGE_PRODUCT_SPECIFIC,As needed,N/A,"DO_NOT_FREEZE; PRODUCT_SPECIFIC_CHOKING_SAFETY","SUPERVISE; FDA favors firm non-liquid-filled teether; MA refrigerated/liquid-filled products require product-specific review",CLINICAL_FAMILY_SUPPORTED,MA_MARKET_CROSSCHECKED,SAFETY_REVIEW_REQUIRED,NO
PARA,Whitening,Professional-supervised,Whitening products,TO_VERIFY,Cosmetic tooth whitening after suitability assessment,TO_VERIFY,N/A,N/A,TO_VALIDATE,TO_VALIDATE,N/A,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,TO_VERIFY,TO_VALIDATE,NO
